loan_amnt,term,int_rate,installment,emp_length,annual_inc,dti,fico_range_low,fico_range_high,mths_since_last_delinq,mths_since_last_record,last_fico_range_high,last_fico_range_low,earliest_cr_line_age,TotalGain,LoanStatus,LifeOfLoan,PvGain,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_small_business,purpose_vacation,purpose_wedding,initial_list_status_f,application_type_Individual,disbursement_method_Cash,sub_grade
7500.0,36.0,13.75,255.43,1.0,22000.0,14.29,660.0,664.0,11.0,0.0,679.0,675.0,44.0,1695.26,0.0,36.0,328.3517135266016,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22
5000.0,36.0,9.01,159.03,1.0,73000.0,9.96,720.0,724.0,0.0,0.0,764.0,760.0,102.0,725.02,0.0,36.0,140.4277570054485,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7
5000.0,36.0,7.43,155.38,1.0,200000.0,3.72,810.0,814.0,0.0,0.0,814.0,810.0,224.0,174.2,0.0,6.0,122.63720076952062,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2
5000.0,36.0,8.07,156.84,1.0,100000.0,2.3,740.0,744.0,0.0,0.0,744.0,740.0,105.0,272.16,0.0,9.0,158.816158379101,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
8500.0,36.0,10.28,275.38,3.0,18000.0,6.4,690.0,694.0,5.0,0.0,639.0,635.0,247.0,1413.49,0.0,36.0,273.7762134142939,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11
2500.0,36.0,8.07,78.42,4.0,110000.0,11.33,760.0,764.0,0.0,0.0,809.0,805.0,200.0,322.97,0.0,36.0,62.55545044281496,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
5000.0,36.0,8.7,158.3,5.0,75000.0,15.55,755.0,759.0,0.0,0.0,554.0,550.0,158.0,698.6,0.0,36.0,135.31051701195324,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6
5000.0,36.0,7.43,155.38,1.0,85000.0,0.31,785.0,789.0,0.0,0.0,789.0,785.0,117.0,593.63,0.0,36.0,114.97907559949302,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
5000.0,36.0,11.22,164.23,1.0,80000.0,1.21,670.0,674.0,0.0,44.0,674.0,670.0,132.0,912.05,0.0,36.0,176.6532451198853,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14
5000.0,36.0,9.96,161.25,4.0,48000.0,8.03,705.0,709.0,0.0,0.0,724.0,720.0,143.0,804.73,0.0,36.0,155.8666366376026,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10
