loan_amnt,term,int_rate,installment,emp_length,annual_inc,dti,fico_range_low,fico_range_high,last_fico_range_high,last_fico_range_low,earliest_cr_line_age,TotalGain,LoanStatus,LifeOfLoan,PvGain,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,initial_list_status_f,application_type_Individual,disbursement_method_Cash,sub_grade
8000.0,36.0,10.95,261.71,2.0,75000.0,23.25,720.0,724.0,674.0,670.0,215.0,1421.68,0.0,37.0,268.06974563754966,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6
4000.0,36.0,15.05,138.77,2.0,45200.0,7.67,665.0,669.0,649.0,645.0,101.0,978.62,0.0,34.0,200.41388806924218,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19
7500.0,36.0,15.37,261.35,1.0,60000.0,17.5,675.0,679.0,739.0,735.0,91.0,1142.01,0.0,15.0,480.15733675105287,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20
2400.0,36.0,12.21,79.96,1.0,23000.0,9.5,710.0,714.0,749.0,745.0,45.0,353.58,0.0,22.0,108.71539264371526,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10
2400.0,36.0,13.47,81.42,1.0,30988.62,5.11,690.0,694.0,499.0,0.0,44.0,530.86,0.0,37.0,100.09812698297058,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14
7000.0,36.0,9.63,224.66,10.0,93240.0,14.05,725.0,729.0,724.0,720.0,168.0,853.9299999999998,0.0,20.0,285.1807369288858,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5
15000.0,36.0,11.89,497.46,8.0,80004.0,17.64,715.0,719.0,529.0,525.0,73.0,2908.52,0.0,37.0,548.425958430678,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9
4200.0,36.0,11.58,138.66,10.0,32000.0,22.09,700.0,704.0,754.0,750.0,97.0,791.61,0.0,36.0,153.32544857118856,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8
6000.0,36.0,14.42,206.3,10.0,100000.0,13.57,660.0,664.0,609.0,605.0,170.0,1426.5799999999997,0.0,36.0,276.3115908372634,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17
10000.0,36.0,11.26,328.64,10.0,70596.0,11.61,720.0,724.0,694.0,690.0,213.0,1667.4099999999999,0.0,26.0,440.7606993714578,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7
5650.0,36.0,13.47,191.67,10.0,67200.0,6.18,670.0,674.0,679.0,675.0,163.0,1249.79,0.0,36.0,242.0694690185643,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14
10000.0,36.0,11.26,328.64,1.0,62000.0,4.49,720.0,724.0,769.0,765.0,57.0,691.72,0.0,9.0,403.6460650866834,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7
5750.0,36.0,8.0,180.19,1.0,70000.0,2.59,805.0,809.0,824.0,820.0,158.0,672.23,0.0,26.0,177.696286419342,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
4000.0,36.0,8.0,125.35,9.0,90000.0,8.97,755.0,759.0,794.0,790.0,147.0,102.71,0.0,5.0,77.26564014993751,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
5000.0,36.0,13.79,170.38,1.0,45000.0,6.0,720.0,724.0,544.0,540.0,174.0,1030.69,0.0,27.0,263.053955227988,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15
15000.0,36.0,11.58,495.21,3.0,103000.0,20.26,720.0,724.0,699.0,695.0,187.0,2827.21,0.0,37.0,533.0942726660973,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,8
15000.0,36.0,10.95,490.71,10.0,105000.0,8.14,755.0,759.0,779.0,775.0,229.0,2332.2599999999998,0.0,29.0,556.5173194492595,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6
15000.0,36.0,13.47,508.84,10.0,46394.0,13.76,690.0,694.0,729.0,725.0,142.0,3318.17,0.0,37.0,625.668918379768,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14
5000.0,36.0,10.95,163.57,3.0,25000.0,12.48,730.0,734.0,734.0,730.0,125.0,776.95,0.0,26.0,205.37781671973556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6
4000.0,36.0,9.32,127.79,1.0,75852.0,13.72,765.0,769.0,724.0,720.0,192.0,597.3599999999998,0.0,35.0,118.92983872131751,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
5000.0,36.0,13.47,169.62,3.0,65000.0,12.48,690.0,694.0,724.0,720.0,97.0,1163.72,0.0,35.0,231.68781290473362,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14
15000.0,36.0,9.63,481.42,1.0,30000.0,4.08,815.0,819.0,799.0,795.0,271.0,2330.87,0.0,36.0,451.46181618615987,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5
5000.0,36.0,13.47,169.62,1.0,24996.0,12.15,685.0,689.0,814.0,810.0,63.0,701.59,0.0,15.0,294.98304383601817,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14
3000.0,36.0,12.53,100.4,1.0,25000.0,3.65,710.0,714.0,569.0,565.0,72.0,614.35,0.0,37.0,115.8408701201597,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,11
15000.0,36.0,9.63,481.42,1.0,39000.0,11.57,810.0,814.0,804.0,800.0,153.0,1993.06,0.0,24.0,566.9316387257535,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5
7000.0,36.0,12.53,234.27,1.0,41000.0,2.46,745.0,749.0,764.0,760.0,164.0,1433.43,0.0,37.0,270.2853071642233,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11
3700.0,36.0,8.0,115.95,8.0,27996.0,7.84,770.0,774.0,734.0,730.0,52.0,304.23,0.0,17.0,116.15619621277185,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
12000.0,36.0,13.79,408.91,3.0,107004.0,4.58,685.0,689.0,829.0,825.0,180.0,2720.5699999999997,0.0,37.0,512.9864019252915,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15
10000.0,36.0,9.63,320.95,4.0,76800.0,0.0,780.0,784.0,794.0,790.0,133.0,713.78,0.0,11.0,370.88333935823545,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5
7200.0,36.0,9.63,231.08,2.0,68000.0,19.11,725.0,729.0,664.0,660.0,204.0,854.04,0.0,21.0,273.4991614872084,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5
15000.0,36.0,14.42,515.74,3.0,110000.0,6.33,680.0,684.0,684.0,680.0,62.0,3177.95,0.0,26.0,840.0546143825,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17
15000.0,36.0,9.63,481.42,7.0,104000.0,9.63,775.0,779.0,729.0,725.0,206.0,2162.01,0.0,27.0,551.7908214326928,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5
10000.0,36.0,9.32,319.47,3.0,120000.0,5.93,745.0,749.0,739.0,735.0,104.0,503.45,0.0,7.0,332.31894891948565,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
15000.0,36.0,15.05,520.37,10.0,95000.0,17.72,665.0,669.0,674.0,670.0,247.0,3733.26,0.0,36.0,723.0880915259729,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,19
15000.0,36.0,12.53,502.0,1.0,124800.0,15.83,700.0,704.0,744.0,740.0,211.0,1905.46,0.0,16.0,762.871998571359,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,11
8950.0,36.0,11.89,296.82,2.0,70000.0,21.24,700.0,704.0,704.0,700.0,259.0,1735.41,0.0,36.0,336.12829133654975,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9
15000.0,36.0,11.89,497.46,1.0,60000.0,12.42,715.0,719.0,704.0,700.0,78.0,727.99,0.0,10.0,400.51038077778276,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9
6000.0,36.0,14.74,207.23,4.0,32001.0,12.45,670.0,674.0,569.0,565.0,98.0,1459.87,0.0,37.0,275.2707919953081,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18
15000.0,36.0,14.42,515.74,8.0,70000.0,13.7,695.0,699.0,674.0,670.0,84.0,3566.5499999999997,0.0,37.0,672.5030606772287,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17
15000.0,36.0,12.84,504.27,5.0,116000.0,8.1,695.0,699.0,519.0,515.0,214.0,2753.24,0.0,25.0,754.5641781598209,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,12
10000.0,36.0,12.21,333.15,2.0,60000.0,11.42,700.0,704.0,739.0,735.0,64.0,1846.32,0.0,27.0,471.2200357202835,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10
3600.0,36.0,12.21,119.94,1.0,60000.0,10.56,690.0,694.0,699.0,695.0,134.0,717.56,0.0,36.0,138.98284366890516,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10
9600.0,36.0,14.42,330.08,4.0,83964.0,11.46,700.0,704.0,734.0,730.0,41.0,2282.55,0.0,37.0,430.39403937945895,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,17
10000.0,36.0,10.95,327.14,4.0,95000.0,5.68,720.0,724.0,734.0,730.0,179.0,1517.42,0.0,24.0,431.6344752467227,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6
5000.0,36.0,7.68,155.96,1.0,40308.0,5.78,800.0,804.0,799.0,795.0,146.0,422.16,0.0,25.0,115.6988905623738,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
11000.0,36.0,9.32,351.42,7.0,90000.0,6.43,765.0,769.0,739.0,735.0,185.0,1531.53,0.0,27.0,390.8789491023688,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
