id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desk,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
87023,,7500.0,7500.0,800.0, 36 months,13.75,255.43,E,E2,Evergreen Center,< 1 year,OWN,22000.0,Not Verified,Jun-2007,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=87023,"I plan to consolidate over $7,000 of debt: a combination of credit cards and student loans.",debt_consolidation,Consolidation Loan,027xx,MA,14.29,1.0,Oct-2003,660.0,664.0,0.0,11.0,0.0,7.0,0.0,4175.0,51.5,8.0,f,0.0,0.0,9195.263333821402,980.83,7500.0,1695.26,0.0,0.0,0.0,Jun-2010,256.59,,Mar-2019,679.0,675.0,,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72176,,2525.0,2525.0,225.0, 36 months,9.33,80.69,B,B3,,< 1 year,RENT,110000.0,Not Verified,Jun-2007,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72176,"I need to pay $2,100 for fixing my Volvo :)  Any help appreciated!",other,Car repair bill,100xx,NY,10.0,,,710.0,714.0,,,,,,0.0,,,f,0.0,0.0,2904.49882892,258.82,2525.0,379.5,0.0,0.0,0.0,Jun-2010,82.03,Jul-2010,May-2007,714.0,710.0,,,1.0,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88046,,4400.0,4400.0,1400.0, 36 months,9.64,141.25,B,B4,Brick Township board of education,2 years,MORTGAGE,30000.0,Not Verified,Jun-2007,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88046,,debt_consolidation,VISA,087xx,NJ,3.72,0.0,Jul-2004,695.0,699.0,0.0,0.0,0.0,4.0,0.0,3493.0,63.5,5.0,f,0.0,0.0,5084.7248680844,1617.87,4400.0,684.72,0.0,0.0,0.0,Jun-2010,143.28,Jul-2010,May-2018,549.0,545.0,,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
88637,,6000.0,6000.0,650.0, 36 months,10.59,195.28,C,C2,Yale University,< 1 year,RENT,20000.0,Not Verified,Jun-2007,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88637,"Hi, I am a graduate student working full-time to repay credit card loans incurred for living expenses.  A $5000 loan would allow me to consolidate my debt into one fixed monthly rate.",debt_consolidation,Debt consolidation,065xx,CT,12.9,0.0,Jan-1996,695.0,699.0,4.0,45.0,0.0,5.0,0.0,13660.0,66.0,6.0,f,0.0,0.0,7029.8712720131,761.57,6000.0,1029.87,0.0,0.0,0.0,Jun-2010,197.36,Jul-2010,Oct-2014,769.0,765.0,,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
85818,,5000.0,5000.0,375.0, 36 months,11.22,164.23,C,C4,Compensation Solutions,< 1 year,RENT,28000.0,Not Verified,Jun-2007,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=85818,Getting my credit card debt paid off without having to worry about the high interest rate I am currently paying.,other,Credit Card,078xx,NJ,3.51,,,670.0,674.0,,,,,,0.0,,,f,0.0,0.0,5858.468448005399,439.39,5000.0,828.47,29.999999999842,0.0,0.0,Apr-2010,149.43,Apr-2010,Jan-2017,614.0,610.0,,,1.0,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
71623,,6500.0,6500.0,0.0, 36 months,8.38,204.84,A,A5,,< 1 year,NONE,,Not Verified,Jun-2007,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=71623,"Hi,   I'm buying  a used car. Anybody on facebook wants to finance me?   Thanks",other,Buying a car,100xx,NY,4.0,,,740.0,744.0,,,,,,0.0,,,f,0.0,0.0,7373.904961698405,0.0,6500.0,873.9,0.0,0.0,0.0,Jun-2010,205.32,Jul-2010,Aug-2007,724.0,720.0,,,1.0,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
70686,,5000.0,5000.0,0.0, 36 months,7.75,156.11,A,A3,Homemaker,10+ years,MORTGAGE,70000.0,Not Verified,Jun-2007,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=70686,"I need to make several improvements around the house - fix garage, fix back fencing, and misc other.",other,Aroundthehouse,068xx,CT,8.81,,,770.0,774.0,,,,,,0.0,,,f,0.0,0.0,5619.762090469702,0.0,5000.0,619.76,0.0,0.0,0.0,Jun-2010,156.39,Jul-2010,Feb-2015,794.0,790.0,,,1.0,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
72998,,1000.0,1000.0,0.0, 36 months,9.64,32.11,B,B4,Halping hands company inc.,< 1 year,RENT,12000.0,Not Verified,Jun-2007,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=72998,I would like to buy some new furniture in my apartment and TV,other,delight,021xx,MA,10.0,,,695.0,699.0,,,,,,0.0,,,f,0.0,0.0,1155.6008987682,0.0,1000.0,155.6,0.0,0.0,0.0,Jun-2010,32.41,Jul-2010,Sep-2014,784.0,780.0,,,1.0,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
73582,,3500.0,3500.0,225.0, 36 months,10.28,113.39,C,C1,,< 1 year,RENT,180000.0,Not Verified,Jun-2007,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=73582,"I am getting married on July 28 and will need another $3,500 to pay the suppliers (catering, hotel, etc.). I would have never thought getting married was such an expensive proposition! Thanks for helping.",other,Wedding coming up,100xx,NY,10.0,,,685.0,689.0,,,,,,0.0,,,f,0.0,0.0,3719.4310703809997,239.11,3500.0,219.43,0.0,0.0,0.0,Mar-2008,0.0,Mar-2008,Feb-2013,819.0,815.0,,,1.0,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
74323,,6500.0,6500.0,0.0, 36 months,9.64,208.66,B,B4,Air Force,< 1 year,RENT,20000.0,Not Verified,Jun-2007,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=74323,"I'm in the military and before I came in I racked up a large credit card debt. With all the different payments to keep track of and extra charges it is really hard to get out from under them. With just one payment a month it would make my life easier, so I can concentrate on my job.",other,One-Debt Loan,064xx,CT,10.0,,,710.0,714.0,,,,,,0.0,,,f,0.0,0.0,7193.06,0.0,1791.32,503.81,0.0,4897.93,1714.27,May-2008,208.65,Dec-2008,Mar-2019,544.0,540.0,,,1.0,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
